61966_2019.jpg : k=30, PSNR=37.86dB; k=10, PSNR=25.32dB; k=5, PSNR=21.66dB; k=3, PSNR=20.26dB; k=1, PSNR=18.46dB; 
61967_2019.jpg : k=30, PSNR=39.84dB; k=10, PSNR=24.00dB; k=5, PSNR=20.49dB; k=3, PSNR=18.47dB; k=1, PSNR=15.19dB; 
61968_2019.jpg : k=30, PSNR=34.52dB; k=10, PSNR=21.90dB; k=5, PSNR=19.01dB; k=3, PSNR=17.80dB; k=1, PSNR=16.28dB; 
61969_2019.jpg : k=30, PSNR=37.43dB; k=10, PSNR=23.92dB; k=5, PSNR=20.90dB; k=3, PSNR=18.35dB; k=1, PSNR=15.21dB; 
61970_2019.jpg : k=30, PSNR=36.23dB; k=10, PSNR=24.36dB; k=5, PSNR=21.58dB; k=3, PSNR=20.15dB; k=1, PSNR=18.20dB; 
61971_2019.jpg : k=30, PSNR=35.15dB; k=10, PSNR=22.76dB; k=5, PSNR=19.73dB; k=3, PSNR=18.09dB; k=1, PSNR=15.71dB; 
61972_2019.jpg : k=30, PSNR=34.58dB; k=10, PSNR=23.06dB; k=5, PSNR=20.34dB; k=3, PSNR=19.03dB; k=1, PSNR=16.88dB; 
61973_2019.jpg : k=30, PSNR=37.88dB; k=10, PSNR=23.46dB; k=5, PSNR=20.18dB; k=3, PSNR=18.55dB; k=1, PSNR=15.68dB; 
61974_2019.jpg : k=30, PSNR=36.94dB; k=10, PSNR=24.93dB; k=5, PSNR=21.64dB; k=3, PSNR=19.91dB; k=1, PSNR=17.72dB; 
61975_2019.jpg : k=30, PSNR=35.46dB; k=10, PSNR=22.82dB; k=5, PSNR=19.84dB; k=3, PSNR=17.78dB; k=1, PSNR=15.58dB; 
61976_2019.jpg : k=30, PSNR=34.61dB; k=10, PSNR=23.04dB; k=5, PSNR=19.79dB; k=3, PSNR=18.11dB; k=1, PSNR=15.59dB; 
61977_2019.jpg : k=30, PSNR=37.01dB; k=10, PSNR=23.49dB; k=5, PSNR=20.28dB; k=3, PSNR=18.45dB; k=1, PSNR=14.56dB; 
61978_2019.jpg : k=30, PSNR=35.50dB; k=10, PSNR=22.91dB; k=5, PSNR=19.94dB; k=3, PSNR=18.10dB; k=1, PSNR=15.81dB; 
61979_2019.jpg : k=30, PSNR=37.58dB; k=10, PSNR=24.44dB; k=5, PSNR=21.40dB; k=3, PSNR=19.66dB; k=1, PSNR=17.36dB; 
61980_2019.jpg : k=30, PSNR=35.62dB; k=10, PSNR=23.48dB; k=5, PSNR=20.64dB; k=3, PSNR=19.07dB; k=1, PSNR=16.40dB; 
61981_2019.jpg : k=30, PSNR=34.67dB; k=10, PSNR=22.25dB; k=5, PSNR=19.32dB; k=3, PSNR=17.63dB; k=1, PSNR=15.47dB; 
61982_2019.jpg : k=30, PSNR=35.78dB; k=10, PSNR=22.43dB; k=5, PSNR=19.14dB; k=3, PSNR=17.24dB; k=1, PSNR=14.17dB; 
61983_2019.jpg : k=30, PSNR=34.35dB; k=10, PSNR=22.42dB; k=5, PSNR=19.53dB; k=3, PSNR=17.86dB; k=1, PSNR=15.60dB; 
61984_2019.jpg : k=30, PSNR=39.98dB; k=10, PSNR=26.47dB; k=5, PSNR=23.01dB; k=3, PSNR=21.36dB; k=1, PSNR=19.61dB; 
61985_2019.jpg : k=30, PSNR=34.15dB; k=10, PSNR=22.57dB; k=5, PSNR=19.96dB; k=3, PSNR=18.52dB; k=1, PSNR=16.64dB; 
61986_2019.jpg : k=30, PSNR=37.37dB; k=10, PSNR=24.42dB; k=5, PSNR=21.12dB; k=3, PSNR=19.31dB; k=1, PSNR=16.69dB; 
61987_2019.jpg : k=30, PSNR=33.39dB; k=10, PSNR=21.73dB; k=5, PSNR=19.15dB; k=3, PSNR=17.39dB; k=1, PSNR=15.26dB; 
61988_2019.jpg : k=30, PSNR=37.16dB; k=10, PSNR=24.58dB; k=5, PSNR=21.19dB; k=3, PSNR=19.85dB; k=1, PSNR=18.20dB; 
61989_2019.jpg : k=30, PSNR=38.08dB; k=10, PSNR=24.74dB; k=5, PSNR=21.49dB; k=3, PSNR=19.44dB; k=1, PSNR=17.01dB; 
61990_2019.jpg : k=30, PSNR=39.35dB; k=10, PSNR=25.31dB; k=5, PSNR=21.83dB; k=3, PSNR=20.17dB; k=1, PSNR=17.75dB; 
61991_2019.jpg : k=30, PSNR=36.21dB; k=10, PSNR=22.55dB; k=5, PSNR=19.41dB; k=3, PSNR=17.42dB; k=1, PSNR=14.25dB; 
61992_2019.jpg : k=30, PSNR=34.58dB; k=10, PSNR=21.81dB; k=5, PSNR=18.72dB; k=3, PSNR=17.04dB; k=1, PSNR=14.28dB; 
61993_2019.jpg : k=30, PSNR=39.79dB; k=10, PSNR=25.06dB; k=5, PSNR=21.29dB; k=3, PSNR=19.80dB; k=1, PSNR=17.02dB; 
61994_2019.jpg : k=30, PSNR=40.60dB; k=10, PSNR=24.49dB; k=5, PSNR=20.56dB; k=3, PSNR=18.44dB; k=1, PSNR=14.74dB; 
61995_2019.jpg : k=30, PSNR=37.98dB; k=10, PSNR=24.67dB; k=5, PSNR=21.73dB; k=3, PSNR=20.30dB; k=1, PSNR=17.71dB; 
61996_2019.jpg : k=30, PSNR=36.76dB; k=10, PSNR=23.92dB; k=5, PSNR=19.99dB; k=3, PSNR=17.72dB; k=1, PSNR=15.09dB; 
61997_2019.jpg : k=30, PSNR=35.81dB; k=10, PSNR=22.59dB; k=5, PSNR=19.29dB; k=3, PSNR=17.53dB; k=1, PSNR=14.66dB; 
61998_2019.jpg : k=30, PSNR=41.05dB; k=10, PSNR=24.53dB; k=5, PSNR=21.12dB; k=3, PSNR=19.17dB; k=1, PSNR=15.14dB; 
61999_2019.jpg : k=30, PSNR=39.79dB; k=10, PSNR=26.45dB; k=5, PSNR=22.16dB; k=3, PSNR=19.60dB; k=1, PSNR=15.59dB; 
62000_2019.jpg : k=30, PSNR=39.88dB; k=10, PSNR=25.70dB; k=5, PSNR=22.78dB; k=3, PSNR=20.64dB; k=1, PSNR=17.77dB; 
62001_2019.jpg : k=30, PSNR=37.82dB; k=10, PSNR=24.20dB; k=5, PSNR=20.63dB; k=3, PSNR=18.17dB; k=1, PSNR=15.01dB; 
62002_2019.jpg : k=30, PSNR=38.54dB; k=10, PSNR=25.05dB; k=5, PSNR=21.41dB; k=3, PSNR=19.39dB; k=1, PSNR=16.97dB; 
62003_2019.jpg : k=30, PSNR=32.18dB; k=10, PSNR=21.10dB; k=5, PSNR=17.89dB; k=3, PSNR=16.13dB; k=1, PSNR=13.07dB; 
62004_2019.jpg : k=30, PSNR=37.39dB; k=10, PSNR=22.89dB; k=5, PSNR=19.57dB; k=3, PSNR=17.60dB; k=1, PSNR=13.81dB; 
62005_2019.jpg : k=30, PSNR=37.15dB; k=10, PSNR=22.76dB; k=5, PSNR=18.57dB; k=3, PSNR=16.53dB; k=1, PSNR=14.41dB; 
62006_2019.jpg : k=30, PSNR=35.59dB; k=10, PSNR=23.41dB; k=5, PSNR=20.47dB; k=3, PSNR=18.45dB; k=1, PSNR=16.05dB; 
62007_2019.jpg : k=30, PSNR=35.15dB; k=10, PSNR=22.48dB; k=5, PSNR=19.43dB; k=3, PSNR=17.80dB; k=1, PSNR=15.16dB; 
